obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""1194.3871""","=""""","=""4.6e+06""",D+,"=""111818.028""","=""120188.232""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""T1618n""","=""""",
"=""""","=""1202.6648""","=""""","=""4.2e+05""",D,"=""107054.2720""","=""115366.866""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T1618n""","=""""",
"=""1211.2326""","=""1211.2324""","=""200""","=""3.1e+06""",D,"=""105462.7596""","=""113716.555""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""",,"=""T1618n""","=""L2634""",
"=""1213.9738""","=""1213.9737""","=""50""","=""4.5e+06""",D,"=""107131.7086""","=""115366.866""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T1618n""","=""L2634""",
"=""1234.3393""","=""1234.3392""","=""50""","=""2.0e+06""",D,"=""105617.2700""","=""113716.555""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""",,"=""T1618n""","=""L2634""",
"=""""","=""1235.5819""","=""""","=""3.5e+06""",D,"=""112138.924""","=""120230.063""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",,"=""T1618n""","=""""",
"=""""","=""1235.6297""","=""""","=""3.5e+06""",D,"=""112138.924""","=""120229.750""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",,"=""T1618n""","=""""",
"=""1240.2827""","=""1240.2828""","=""200""","=""1.1e+07""",D,"=""106087.2598""","=""114147.732""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",,"=""T1618n""","=""L2634""",
"=""1243.9321""","=""1243.9321""","=""200""","=""4.9e+06""",D,"=""104102.0990""","=""112138.924""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",,"=""T1618n""","=""L2634""",
"=""1245.612""","=""1245.6114""","=""100""","=""8.9e+06""",D,"=""105617.2700""","=""113643.260""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",,"=""T1618n""","=""L2634""",
"=""1248.7663""","=""1248.7663""","=""200""","=""1.1e+07""",D,"=""105462.7596""","=""113468.473""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",,"=""T1618n""","=""L2634""",
"=""""","=""1255.4324""","=""""","=""1.2e+05""",D,"=""105462.7596""","=""113425.964""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",,"=""T1618n""","=""""",
"=""""","=""1262.1619""","=""""","=""3.8e+05""",E,"=""107054.2720""","=""114975.019""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",,"=""T1372""","=""""",
"=""1270.2281""","=""1270.2280""","=""150""","=""7.1e+06""",D,"=""107496.4166""","=""115366.866""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T1618n""","=""L2634""",
"=""1273.3418""","=""1273.3418""","=""30""","=""1.1e+06""",D,"=""105617.2700""","=""113468.473""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",,"=""T1618n""","=""L2634""",
"=""1274.6232""","=""1274.6232""","=""12""","=""2.0e+06""",D,"=""107131.7086""","=""114975.019""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",,"=""T1618n""","=""L2634""",
"=""1280.2739""","=""1280.2737""","=""200""","=""5.7e+06""",D,"=""105617.2700""","=""113425.964""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",,"=""T1618n""","=""L2634""",
"=""1293.3195""","=""1293.3196""","=""50""","=""1.0e+07""",D,"=""107131.7086""","=""114861.635""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",,"=""T1618n""","=""L2634""",
"=""1295.6659""","=""1295.6658""","=""500""","=""7.4e+06""",D,"=""104102.0990""","=""111818.028""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",,"=""T1618n""","=""L2634""",
"=""1300.8264""","=""1300.8264""","=""200""","=""8.9e+06""",D,"=""107289.7001""","=""114975.019""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",,"=""T1618n""","=""L2634""",
"=""1321.399""","=""1321.3991""","=""200""","=""8.1e+06""",D,"=""104102.0990""","=""111667.766""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""",,"=""T1618n""","=""L2634""",
"=""1322.8107""","=""""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2634""",
"=""1323.090""","=""1323.0897""","=""100""","=""4.6e+06""",D,"=""106087.2598""","=""113643.260""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",,"=""T1372""","=""L2634""",
"=""1327.264""","=""1327.2635""","=""500""","=""1.5e+07""",D,"=""107289.7001""","=""114821.939""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""3""",,"=""T1618n""","=""L2634""",
"=""1331.3210""","=""1331.3209""","=""1000""","=""1.3e+07""",D,"=""107131.7086""","=""114640.992""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",,"=""T1618n""","=""L2634""",
"=""1336.7111""","=""""","=""1000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2634""",
"=""""","=""1336.7827""","=""""","=""3.4e+06""",D,"=""107496.4166""","=""114975.019""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",,"=""T1372""","=""""",
"=""""","=""1340.6513""","=""""","=""6.5e+06""",D,"=""112750.153""","=""120207.175""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""4""","=""3s2.3p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""",,"=""T1618n""","=""""",
"=""""","=""1340.6587""","=""""","=""6.5e+06""",D,"=""112750.153""","=""120207.134""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""4""","=""3s2.3p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""",,"=""T1618n""","=""""",
"=""1349.941""","=""1349.9406""","=""30""","=""2.7e+06""",D,"=""106237.5518""","=""113643.260""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",,"=""T1372""","=""L2634""",
"=""1350.4191""","=""1350.4189""","=""1000""","=""1.1e+07""",D,"=""105617.2700""","=""113020.355""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""3""",,"=""T1618n""","=""L2634""",
"=""""","=""1354.4205""","=""""","=""4.6e+05""",E,"=""106087.2598""","=""113468.473""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",,"=""T1372""","=""""",
"=""1357.3617""","=""1357.3618""","=""11""","=""5.1e+06""",D,"=""107496.4166""","=""114861.635""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",,"=""T1372""","=""L2634""",
"=""1359.9333""","=""1359.9333""","=""30""","=""2.2e+06""",D,"=""107289.7001""","=""114640.992""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",,"=""T1618n""","=""L2634""",
"=""1362.2659""","=""1362.2659""","=""400""","=""7.3e+06""",D,"=""106087.2598""","=""113425.964""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",,"=""T1618n""","=""L2634""",
"=""1367.8550""","=""1367.8549""","=""200""","=""6.2e+06""",D,"=""107496.4166""","=""114805.135""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",,"=""T1618n""","=""L2634""",
"=""1371.8577""","=""""","=""1000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2634""",
"=""1382.5715""","=""1382.5716""","=""10""","=""3.3e+06""",D,"=""106237.5518""","=""113468.473""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",,"=""T1372""","=""L2634""",
"=""1390.7478""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2634""",
"=""1409.3640""","=""1409.3640""","=""200""","=""4.3e+06""",D,"=""107054.2720""","=""114147.732""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",,"=""T1618n""","=""L2634""",
"=""""","=""1459.5734""","=""""","=""5.3e+06""",D,"=""114805.135""","=""121654.580""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""",,"=""T1618n""","=""""",
"=""""","=""1459.6471""","=""""","=""5.3e+06""",D,"=""114805.135""","=""121654.234""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",,"=""T1618n""","=""""",
"=""""","=""1463.4414""","=""""","=""9.0e+06""",D,"=""114821.939""","=""121653.280""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""3""","=""3s2.3p5.(2P*<1/2>).4f""","=""2[7/2]""","=""4""",,"=""T1618n""","=""""",
"=""""","=""1463.4504""","=""""","=""9.0e+06""",D,"=""114821.939""","=""121653.238""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""3""","=""3s2.3p5.(2P*<1/2>).4f""","=""2[7/2]""","=""3""",,"=""T1618n""","=""""",
"=""""","=""1473.9139""","=""""","=""8.8e+04""",D,"=""106237.5518""","=""113020.355""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""3""",,"=""T1618n""","=""""",
"=""""","=""1478.5380""","=""""","=""2.1e+05""",D,"=""113468.473""","=""120230.063""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",,"=""T1618n""","=""""",
"=""""","=""1478.6064""","=""""","=""2.1e+05""",D,"=""113468.473""","=""120229.750""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",,"=""T1618n""","=""""",
"=""""","=""1487.6537""","=""""","=""6.0e+04""",D,"=""113468.473""","=""120188.631""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",,"=""T1618n""","=""""",
"=""""","=""1487.7420""","=""""","=""6.0e+04""",D,"=""113468.473""","=""120188.232""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""T1618n""","=""""",
